사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자차종,가해운전자성별,가해운전자연령,가해운전자상해정도,피해운전자차종,피해운전자성별,피해운전자연령,피해운전자상해정도,위도,경도
2.0160102E15,2016010211,토요일,서울특별시 강서구 내발산동,사망사고,1,0,0,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,78세,사망,승합,남,45세,상해없음,37.55799275,126.84450319
2.0160106E15,2016010608,수요일,서울특별시 영등포구 양평동5가,사망사고,1,0,2,0,차대차 - 측면직각충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,58세,사망,승용,남,37세,경상,37.54202946,126.89525204
2.0160107E15,2016010712,목요일,서울특별시 동대문구 용두동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,47세,상해없음,보행자,여,76세,사망,37.58064296,127.02984978
2.0160107E15,2016010719,목요일,서울특별시 양천구 목동,사망사고,1,0,0,0,차대차 - 측면직각충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,자전,남,15세,상해없음,자전거,남,64세,사망,37.52665506,126.86988952
2.0160108E15,2016010800,금요일,서울특별시 마포구 상암동,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,18세,사망,,,,,37.57832448,126.87921663
2.0160109E15,2016010918,토요일,서울특별시 서초구 서초동,사망사고,1,0,0,0,차대사람 - 기타,보행자보호의무위반,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,41세,상해없음,보행자,여,70세,사망,37.48254387,127.00442782
2.016011E15,2016011019,일요일,서울특별시 서초구 내곡동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,68세,상해없음,보행자,남,60세,사망,37.45729896,127.05962539
2.016012E15,2016012000,수요일,서울특별시 중구 봉래동2가,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,35세,상해없음,보행자,남,73세,사망,37.55493928,126.97227529
2.016013E15,2016013003,토요일,서울특별시 영등포구 당산동,사망사고,1,5,0,0,차대차 - 측면직각충돌,과속,포장 - 습기,맑음,단일로 - 기타,승용,남,52세,중상,화물,남,53세,중상,37.5422541,126.88811881
2.0160203E15,2016020304,수요일,서울특별시 도봉구 도봉동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 횡단보도상,승용,남,61세,상해없음,보행자,여,77세,사망,37.67291482,127.04406639
