발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2016,2016122320,35,야간,금,1,1,0,0,0,경기,광주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,보행자,보행자,981731  ,1932086 ,127.29362273,37.38768594
2016,2016122517,48,주간,일,1,1,0,0,0,서울,금천구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,945989  ,1942347 ,126.88912311,37.4787771
2016,2016122519,05,야간,일,1,1,0,0,0,충북,진천군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,993981  ,1879534 ,127.43159166,36.91592601
2016,2016122610,40,주간,월,1,1,0,0,0,경북,경주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,경형,보행자,보행자,1161153 ,1751026 ,129.28218297,35.74239306
2016,2016122819,40,야간,수,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,소형,보행자,보행자,1056276 ,1686645 ,128.11801548,35.17351216
2016,2016111207,34,주간,토,1,1,0,0,0,경남,거제시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,보행자,보행자,1102347 ,1655121 ,128.62001002,34.88566481
2016,2016110919,25,야간,수,1,1,0,0,0,경기,포천시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,968730  ,1980725 ,127.14467855,37.82573783
2016,2016111005,00,야간,목,1,1,0,0,0,인천,서구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,기타단일로,승용차,경형,보행자,보행자,927356  ,1944911 ,126.67814371,37.50060836
2016,2016110711,05,주간,월,1,1,0,0,0,충남,예산군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,건설기계,건설기계,,,934854  ,1859051 ,126.77042873,36.72726764
2016,2016110818,00,야간,화,1,1,0,0,0,전남,순천시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,996122  ,1654098 ,127.45756318,34.88159203
2016,2016111302,35,야간,일,1,2,1,0,0,서울,용산구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,보행자,보행자,954062  ,1946930 ,126.98014056,37.52052182
2016,2016111318,00,야간,일,1,1,0,0,0,전남,보성군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,985825  ,1648455 ,127.34497919,34.83061404
2016,2016111915,30,주간,토,1,1,0,0,0,경기,가평군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,,,1004740 ,1985424 ,127.55389197,37.86861416
2016,2016111206,00,주간,토,1,1,0,0,0,경기,파주시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,,,931740  ,1968006 ,126.72558277,37.70909091
2016,2016112700,25,야간,일,1,1,0,0,0,경북,칠곡군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1081074 ,1777503 ,128.39943229,35.9909443
2016,2016111914,20,주간,토,1,1,0,0,0,서울,중랑구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도부근,승용차,대형,보행자,보행자,963578  ,1954478 ,127.08745104,37.58897947
2016,2016112523,00,야간,금,1,1,0,0,0,경기,화성시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,승용차,중형,951138  ,1913712 ,126.94924558,37.22096292
2016,2016112618,00,야간,토,1,3,0,2,0,강원,원주시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,경형,승용차,경형,1036872 ,1934941 ,127.91682689,37.41269352
2016,2016112522,15,야간,금,1,2,0,1,0,충북,음성군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,중형,,,1018421 ,1876367 ,127.70672331,36.88542282
2016,2016112009,15,주간,일,2,2,0,0,0,경남,합천군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,교량위,승용차,중형,,,1069181 ,1729221 ,128.26333159,35.55657566
2016,2016112010,20,주간,일,1,1,0,0,0,전북,순창군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,승용차,경형,964968  ,1707876 ,127.11437103,35.36591419
2016,2016112012,05,주간,일,1,1,0,0,0,부산,남구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,1142558 ,1684182 ,129.06490809,35.14277296
