관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월,위도,경도
관악구청,서울특별시 관악구 봉천로 243,서울특별시 관악구 보라매동 971-16,다목적,1,2013-01,37.48934417,126.9287941
관악구청,서울특별시 관악구 난곡로 42 GS슈퍼마켓 부근,서울특별시 관악구 난향동 1735-9,다목적,3,2016-12,37.46043745,126.9208963
관악구청,서울특별시 관악구 삼성동 산76-4,서울특별시 관악구 삼성동 산76-4 (무허가번지),다목적,1,2009-12,37.46046751,126.9297764
관악구청,서울특별시 관악구 난향7길 42,서울특별시 관악구 난향동 675-312,다목적,1,2015-01,37.46071529,126.9153562
관악구청,서울특별시 관악구 대학동 203,서울특별시 관악구 대학동 관악산공원 야외식물원,다목적,1,2012-11,37.4609092,126.9481996
관악구청,서울특별시 관악구 약수암길 8,서울특별시 관악구 삼성동 316-129,다목적,1,2013-01,37.46100702,126.9322949
관악구청,서울특별시 관악구 난곡로 30(휴먼시아107동 입구 과속계도),서울특별시 관악구 난향동 1735-1,다목적,5,2016-12,37.46123477,126.9223311
관악구청,서울특별시 관악구 원신길 268,서울특별시 관악구 삼성동 320와 321-9,다목적,1,2011-01,37.46155392,126.9302732
관악구청,서울특별시 관악구 난향9길27,서울특별시 관악구 난향동 675-260,다목적,1,2015-12,37.4616289,126.915014
관악구청,서울특별시 관악구 신우길 11,서울특별시 관악구 삼성동 산69-18,다목적,1,2015-01,37.46164535,126.9326546
관악구청,서울특별시 관악구 호암로 494 신우초교 부근,서울특별시 관악구 삼성동 316-4 신우초교,다목적,3,2014-06,37.46182139,126.9319479
관악구청,서울특별시 관악구 대학동 203,서울특별시 관악구 대학동 관악산공원 피크닉숲,다목적,1,2012-11,37.46185796,126.9479584
관악구청,서울특별시 관악구 삼성동 321-5,서울특별시 관악구 삼성동 321-5 해바라기어린이공원,다목적,1,2015-01,37.46195671,126.9303319
관악구청,서울특별시 관악구 밤골길 6,서울특별시 관악구 삼성동 산69-32 신우단설유치원,다목적,5,2015-01,37.46207603,126.931702
관악구청,서울특별시 관악구 난향3길 26,서울특별시 관악구 난향동 673-46,다목적,1,2013-01,37.46213675,126.9165511
관악구청,서울특별시 관악구 난향동 1736-10(신림2차대우푸르지오108동앞),서울특별시 관악구 난향동 1736-10,다목적,3,2016-12,37.46226911,126.9190712
관악구청,서울특별시 관악구 난향5길 21,서울특별시 관악구 난향동 673-44,다목적,5,2015-03,37.46227907,126.9163615
관악구청,서울특별시 관악구 남부순환로234길 73 (봉천동),서울특별시 관악구 대학동 산불감시용 (서울대/대학동),다목적,1,2009-03,37.46244837,126.956038
관악구청,서울특별시 관악구 밤골길 19,서울특별시 관악구 삼성동 320-14,다목적,1,2014-02,37.46262094,126.9306214
관악구청,서울특별시 관악구 난향길 77 미도공원,서울특별시 관악구 난향동 675-200와 675-211 미도공원,다목적,1,2009-12,37.46269776,126.9153715
관악구청,서울특별시 관악구 난향길 9 난향초교 부근,서울특별시 관악구 난향동 672와 673-15 난향초교,다목적,4,2014-06,37.46271167,126.9177479
관악구청,서울특별시 관악구 난향길 70,서울특별시 관악구 난향동 675-98,다목적,1,2013-01,37.46283034,126.9155849
관악구청,서울특별시 관악구 난향길 37 국화빌라 부근,서울특별시 관악구 난향동 673-85와 676-48,다목적,3,2016-06,37.46295274,126.9173185
관악구청,서울특별시 관악구 난향길 77 미도공원,서울특별시 관악구 난향동 675-200와 675-199 미도공원,다목적,1,2009-12,37.46302346,126.9151922
관악구청,서울특별시 관악구 난향길 4(난향초교 입구),서울특별시 관악구 난향동 668-4,다목적,4,2016-12,37.46312411,126.9189057
관악구청,서울특별시 관악구 난향2길 5,서울특별시 관악구 난향동 676-15,다목적,1,2013-01,37.46316475,126.9185246
관악구청,서울특별시 관악구 삼성동 산68-2,서울특별시 관악구 삼성동 산68-2 생태체험길 입구,다목적,1,2015-09,37.46319264,126.9337484
관악구청,서울특별시 관악구 난향2길5-12,서울특별시 관악구 난향동 676-27,다목적,4,2015-12,37.46324611,126.9180493
관악구청,서울특별시 관악구 삼성동 1713-6,서울특별시 관악구 삼성동 1713-6 (2-1 배수지공원),다목적,1,2012-01,37.46331438,126.9272212
관악구청,서울특별시 관악구 양지길 91,서울특별시 관악구 삼성동 361-71,다목적,3,2016-12,37.46933568,126.9307816
관악구청,서울특별시 관악구 난곡로35길 102,서울특별시 관악구 난곡동 711-136 (난곡초등학교),다목적,1,2014-01,37.46934289,126.918127
관악구청,서울특별시 관악구 신림로7나길 38,서울특별시 관악구 대학동 241-81앞,다목적,1,2013-12,37.46937761,126.9393155
관악구청,서울특별시 관악구 대학5길 51,서울특별시 관악구 대학동 244-129와 244-132,다목적,1,2009-03,37.46937974,126.9406015
관악구청,서울특별시 관악구 난곡로24나길 2,서울특별시 관악구 난곡동 649와 700-16 (삼거리 649모퉁이),다목적,2,2014-06,37.46940604,126.9210415
관악구청,서울특별시 관악구 인헌16가길 23,서울특별시 관악구 인헌동 180-293와 180-294 (180-293모퉁이),다목적,4,2016-06,37.46946935,126.9679705
관악구청,서울특별시 관악구 양지8길 42,서울특별시 관악구 삼성동 365-3와 354-30,다목적,1,2009-09,37.46947982,126.9294874
관악구청,서울특별시 관악구 인헌16나길 2,서울특별시 관악구 인헌동 180-423,다목적,3,2014-06,37.46957054,126.9658562
관악구청,서울특별시 관악구 난곡로26길 69 무궁화공원,서울특별시 관악구 난곡동 645-1 무궁화공원,다목적,1,2011-11,37.4696018,126.9236499
관악구청,서울특별시 관악구 난곡로26길99-15,서울특별시 관악구 난곡동 646-258,다목적,1,2015-12,37.46963916,126.9247846
관악구청,서울특별시 관악구 미성동 산117-13,서울특별시 관악구 미성동 산117-13 선우공원,다목적,1,2014-08,37.46968859,126.9125745
관악구청,서울특별시 관악구 난곡로24가길 3,서울특별시 관악구 난곡동 639-2,다목적,3,2016-12,37.46972575,126.9207882
관악구청,서울특별시 관악구 양지길 67,서울특별시 관악구 삼성동 355와 354-48,다목적,2,2016-06,37.46973506,126.9288939
관악구청,서울특별시 관악구 신림로7가길 34,서울특별시 관악구 대학동 223-3,다목적,4,2016-12,37.46974634,126.9427629
관악구청,서울특별시 관악구 난곡로24가길 5,서울특별시 관악구 난곡동 639-28,다목적,1,2016-12,37.46977696,126.921107
관악구청,서울특별시 관악구 난곡로35길 102 난곡초등학교 부근,서울특별시 관악구 난곡동 711-136와711-48 난곡초교,다목적,4,2014-12,37.46981217,126.9173561
관악구청,서울특별시 관악구 인헌23길 17,서울특별시 관악구 인헌동 180-196,다목적,1,2013-01,37.46981871,126.9695299
관악구청,서울특별시 관악구 신림로21길 14,서울특별시 관악구 대학동 1522-11,다목적,1,2015-01,37.46984179,126.9354097
관악구청,서울특별시 관악구 남현동 산 65,서울특별시 관악구 남현동 산 65 관음사지구 둘레길화장실앞,다목적,1,2013-11,37.46985456,126.9778824
관악구청,서울특별시 관악구 인헌16길 24,서울특별시 관악구 인헌동 180-347,다목적,1,2013-01,37.46988641,126.9666271
관악구청,서울특별시 관악구 난곡로26길 67,서울특별시 관악구 난곡동 645-4와 645-5,다목적,1,2009-09,37.46990515,126.9234031
관악구청,서울특별시 관악구 난곡로26다길 17,서울특별시 관악구 난곡동 646-7과 646-263,다목적,1,2008-01,37.46997259,126.9245949
관악구청,서울특별시 관악구 신림로 67,서울특별시 관악구 대학동 225,다목적,3,2014-06,37.47001255,126.941456
관악구청,서울특별시 관악구 난곡로25가길 18,서울특별시 관악구 난곡동 711-11 난곡병설유치원,다목적,3,2015-01,37.47001335,126.9184357
관악구청,서울특별시 관악구 호암로24길 6,서울특별시 관악구 대학동 1531-1,다목적,5,2016-12,37.4700492,126.9338064
관악구청,서울특별시 관악구 양지길 63,서울특별시 관악구 삼성동 336 원신공영 계단 HF 04,다목적,61,2016-06,37.47010936,126.9290448
관악구청,서울특별시 관악구 난곡로35길 68 삼성아트빌아파트 부근,서울특별시 관악구 난곡동 715-32,다목적,3,2016-12,37.4702411,126.9174416
관악구청,서울특별시 관악구 난곡로31길 41,서울특별시 관악구 난곡동 711-117,다목적,1,2009-09,37.47024382,126.9181572
