발생시군구,사고빈도,시군구코드,교량빈도,자동차전용도로,주거지역,CCTV,횡단보도,험프,운행제한시설물,버스정류장,어린이보호구역
강남구,7295,11680,48,13,285,1705,2500,735,43,538,103
강동구,2797,11740,28,23,151,865,1402,400,30,345,86
강북구,2429,11305,15,8,138,981,909,220,17,459,40
강서구,3274,11500,19,19,213,701,1511,463,20,577,74
관악구,2659,11620,7,8,221,1241,807,205,33,485,69
광진구,2109,11215,14,8,157,874,887,255,15,285,79
구로구,2944,11530,15,4,170,1135,1435,411,48,488,67
금천구,1623,11545,10,5,89,467,760,255,18,349,45
노원구,3034,11350,24,9,362,1351,1333,492,47,538,67
도봉구,1893,11320,43,1,154,574,868,183,44,386,67
동대문구,3769,11230,30,4,312,7,1151,126,43,318,67
동작구,2881,11590,15,2,179,3,942,226,22,460,60
마포구,3627,11440,30,40,291,685,1556,723,33,567,67
서대문구,2167,11410,19,1,224,488,967,586,37,445,67
서초구,4675,11650,35,3,253,908,1796,262,72,642,55
성동구,2175,11200,38,7,263,646,972,303,33,444,53
성북구,3175,11290,13,4,249,696,1571,490,56,611,67
송파구,5356,11710,46,8,195,854,1684,373,37,414,94
양천구,2836,11470,12,2,285,834,1387,529,30,364,107
영등포구,4789,11560,36,9,260,908,1835,468,37,491,72
