MGRNU,HOL,VEL,AW_SN_QUA,N_LENX_CDE,GU_CDE,lat,lon
06-0000029794,0,0,0,1,680,37.4847366,127.0806421
06-0000029795,0,0,0,1,170,37.53922248,126.9588236
06-0000029797,0,0,4,1,210,37.5355475,127.0939151
06-0000029798,0,0,4,1,210,37.53536883,127.0940609
06-0000029942,0,0,0,1,650,37.50623113,127.0099056
06-0000029926,0,0,0,1,740,37.54619955,127.1429326
06-0000030036,0,0,0,1,380,37.64233055,126.9305014
06-0000029810,0,0,0,1,410,37.57905364,126.9262577
06-0000030055,0,0,0,1,380,37.63510061,126.9330459
06-0000029820,0,0,0,1,410,37.57815443,126.9288612
06-0000029780,0,0,0,1,680,37.49447631,127.0448907
06-0000030032,0,0,4,1,380,37.63452173,126.9172962
06-0000029941,0,0,0,1,320,37.65628056,127.0330176
06-0000030037,0,0,4,1,380,37.63142171,126.9215785
06-0000029943,0,0,0,1,650,37.50622728,127.0102833
06-0000029945,0,0,4,1,650,37.50545985,127.0109928
06-0000029946,0,0,4,1,650,37.50546568,127.0116095
06-0000029948,0,0,0,1,650,37.5049937,127.0149336
06-0000029950,0,0,4,1,650,37.50460666,127.0149156
06-0000030040,0,0,4,1,380,37.63116858,126.9217634
06-0000030041,0,0,4,1,380,37.63153838,126.924352
06-0000030043,0,0,0,1,380,37.63899911,126.9355337
06-0000030044,0,0,0,1,170,37.54639718,126.9634074
06-0000030045,0,0,0,1,380,37.63154007,126.9260213
06-0000030046,0,0,4,1,380,37.63163287,126.9261898
06-0000029799,0,0,4,1,410,37.6014907,126.9493833
06-0000029800,0,0,0,1,680,37.49185691,127.0888901
06-0000029801,0,0,0,1,680,37.49201922,127.0889616
06-0000029802,0,0,0,1,680,37.49217074,127.0899379
06-0000029804,0,0,0,1,410,37.5803042,126.9191264
06-0000029806,0,0,0,1,410,37.57982211,126.9273588
06-0000030077,0,0,0,1,470,37.52627221,126.8725459
06-0000030079,0,0,4,1,380,37.62825351,126.9340399
06-0000029809,0,0,0,1,410,37.57911217,126.9262859
06-0000029953,0,0,4,1,650,37.4604381,127.0358507
06-0000030051,0,0,4,1,380,37.63763978,126.934944
06-0000030056,0,0,4,1,380,37.63408554,126.9321091
06-0000029816,0,0,0,1,410,37.57776978,126.9278925
06-0000029828,0,0,0,1,410,37.57866152,126.9335337
06-0000030067,0,0,0,1,380,37.62933101,126.9300162
06-0000029831,0,0,0,1,410,37.5680648,126.9183019
06-0000029807,0,0,0,1,410,37.5794706,126.9268334
06-0000029808,0,0,0,1,410,37.57941382,126.9268016
06-0000030030,0,0,4,1,380,37.63475176,126.917049
06-0000029778,0,0,0,1,680,37.49494417,127.0450554
06-0000029933,0,0,0,1,320,37.68137656,127.0434566
06-0000029784,0,0,2,1,680,37.48942567,127.0712317
06-0000029787,0,0,2,1,680,37.48827366,127.0720126
06-0000029936,0,0,4,1,170,37.52334766,126.9717343
06-0000030034,0,0,0,1,380,37.64248385,126.9303019
06-0000029792,0,0,4,1,680,37.48644326,127.105211
06-0000029796,0,0,4,6,170,37.53112112,127.0068118
06-0000029944,0,0,4,1,650,37.50577976,127.0105297
06-0000029949,0,0,4,1,650,37.50506729,127.0150938
06-0000030042,0,0,0,1,380,37.63140934,126.9241576
06-0000030048,0,0,0,1,380,37.64317437,126.9215171
06-0000029803,0,0,0,1,410,37.56434109,126.9647615
06-0000029811,0,0,0,1,410,37.57875885,126.9265437
06-0000029812,0,0,0,1,410,37.57838875,126.9268863
06-0000029952,0,0,4,1,650,37.46051633,127.0356055
06-0000029954,0,0,0,1,590,37.47973613,126.971189
06-0000029955,0,0,0,1,650,37.4613915,127.0353867
06-0000030052,0,0,0,1,380,37.63753689,126.9353439
06-0000030053,0,0,0,1,380,37.63746664,126.9351085
06-0000030054,0,0,4,1,380,37.6353152,126.9331161
06-0000030057,0,0,4,1,380,37.63110856,126.9277741
06-0000029813,0,0,0,1,410,37.57807194,126.9271655
06-0000029814,0,0,0,1,410,37.57763517,126.9275527
06-0000029815,0,0,0,1,410,37.57739892,126.927203
06-0000029817,0,0,0,1,410,37.57793847,126.9281196
06-0000029818,0,0,0,1,410,37.57792815,126.9282011
06-0000029819,0,0,0,1,410,37.57808944,126.9284864
06-0000029821,0,0,0,1,410,37.57927408,126.9290146
06-0000030028,0,0,4,1,380,37.63646016,126.9170462
06-0000030029,0,0,4,1,380,37.63645281,126.9168787
06-0000029775,0,0,0,1,560,37.51977354,126.9408487
06-0000029776,0,0,0,1,560,37.51906946,126.9406407
06-0000029777,0,0,4,6,470,37.54288113,126.8813477
06-0000029779,0,0,0,1,680,37.49525546,127.0450177
06-0000029781,0,0,0,1,680,37.51269961,127.0269627
06-0000029782,0,0,0,1,680,37.51167489,127.0259298
06-0000029927,0,0,0,1,740,37.54519084,127.1425914
06-0000029929,0,0,0,1,740,37.54510592,127.1425959
06-0000029930,0,0,0,1,740,37.54526562,127.1422742
